participant,answer,arrow_to,rep,trial,max_alpha,jitter,trial_start,trial_end,exitflag,response,rt
3,\LEFT,left,1,4,0.6,10,NaN,NaN,NaN,NaN,NaN
3,\LEFT,left,3,5,0.6,8,NaN,NaN,NaN,NaN,NaN
3,\RIGHT,right,3,6,0.6,4,NaN,NaN,NaN,NaN,NaN
3,\RIGHT,right,1,7,0.6,11,NaN,NaN,NaN,NaN,NaN
3,\RIGHT,right,4,8,0.6,5,NaN,NaN,NaN,NaN,NaN
3,\RIGHT,left,10,9,0.6,11,NaN,NaN,NaN,NaN,NaN
3,\LEFT,left,2,10,0.6,5,NaN,NaN,NaN,NaN,NaN
3,\RIGHT,left,5,11,0.6,3,NaN,NaN,NaN,NaN,NaN
3,\RIGHT,right,2,12,0.6,9,NaN,NaN,NaN,NaN,NaN
3,\LEFT,left,4,13,0.6,3,NaN,NaN,NaN,NaN,NaN
3,\LEFT,left,9,14,0.6,10,NaN,NaN,NaN,NaN,NaN
3,\LEFT,right,9,15,0.6,5,NaN,NaN,NaN,NaN,NaN
3,\LEFT,right,6,16,0.6,1,NaN,NaN,NaN,NaN,NaN
3,\RIGHT,right,8,17,0.6,2,NaN,NaN,NaN,NaN,NaN
3,\RIGHT,left,2,18,0.6,7,NaN,NaN,NaN,NaN,NaN
3,\RIGHT,left,9,19,0.6,9,NaN,NaN,NaN,NaN,NaN
3,\RIGHT,left,1,20,0.6,8,NaN,NaN,NaN,NaN,NaN
3,\RIGHT,right,10,21,0.6,8,NaN,NaN,NaN,NaN,NaN
3,\LEFT,right,10,22,0.6,4,NaN,NaN,NaN,NaN,NaN
3,\LEFT,right,7,23,0.6,8,NaN,NaN,NaN,NaN,NaN
3,\RIGHT,left,4,24,0.6,10,NaN,NaN,NaN,NaN,NaN
3,\LEFT,right,8,25,0.6,6,NaN,NaN,NaN,NaN,NaN
3,\LEFT,left,6,26,0.6,1,NaN,NaN,NaN,NaN,NaN
3,\LEFT,right,4,27,0.6,1,NaN,NaN,NaN,NaN,NaN
3,\LEFT,right,2,28,0.6,3,NaN,NaN,NaN,NaN,NaN
3,\LEFT,left,8,29,0.6,3,NaN,NaN,NaN,NaN,NaN
3,\RIGHT,right,9,30,0.6,1,NaN,NaN,NaN,NaN,NaN
3,\RIGHT,left,7,31,0.6,2,NaN,NaN,NaN,NaN,NaN
3,\RIGHT,right,5,32,0.6,11,NaN,NaN,NaN,NaN,NaN
3,\RIGHT,left,8,33,0.6,7,NaN,NaN,NaN,NaN,NaN
3,\LEFT,left,10,34,0.6,6,NaN,NaN,NaN,NaN,NaN
3,\LEFT,right,1,35,0.6,2,NaN,NaN,NaN,NaN,NaN
3,\RIGHT,left,6,36,0.6,3,NaN,NaN,NaN,NaN,NaN
3,\LEFT,left,7,37,0.6,10,NaN,NaN,NaN,NaN,NaN
3,\RIGHT,right,6,38,0.6,4,NaN,NaN,NaN,NaN,NaN
3,\RIGHT,left,3,39,0.6,7,NaN,NaN,NaN,NaN,NaN
3,\LEFT,right,5,40,0.6,8,NaN,NaN,NaN,NaN,NaN
4,\RIGHT,right,3,1,0.6,11,NaN,NaN,NaN,NaN,NaN
4,\RIGHT,right,7,2,0.6,10,NaN,NaN,NaN,NaN,NaN
4,\RIGHT,left,1,3,0.6,6,NaN,NaN,NaN,NaN,NaN
4,\RIGHT,left,9,4,0.6,11,NaN,NaN,NaN,NaN,NaN
4,\LEFT,right,7,5,0.6,8,NaN,NaN,NaN,NaN,NaN
4,\RIGHT,left,8,6,0.6,7,NaN,NaN,NaN,NaN,NaN
4,\RIGHT,right,8,7,0.6,9,NaN,NaN,NaN,NaN,NaN
4,\RIGHT,right,1,8,0.6,8,NaN,NaN,NaN,NaN,NaN
4,\RIGHT,left,5,9,0.6,10,NaN,NaN,NaN,NaN,NaN
4,\LEFT,left,9,10,0.6,1,NaN,NaN,NaN,NaN,NaN
4,\LEFT,right,10,11,0.6,3,NaN,NaN,NaN,NaN,NaN
4,\LEFT,right,5,12,0.6,6,NaN,NaN,NaN,NaN,NaN
4,\RIGHT,right,2,13,0.6,9,NaN,NaN,NaN,NaN,NaN
4,\RIGHT,right,5,14,0.6,1,NaN,NaN,NaN,NaN,NaN
4,\RIGHT,left,3,15,0.6,10,NaN,NaN,NaN,NaN,NaN
4,\LEFT,left,2,16,0.6,7,NaN,NaN,NaN,NaN,NaN
4,\LEFT,left,10,17,0.6,1,NaN,NaN,NaN,NaN,NaN
4,\LEFT,left,4,18,0.6,5,NaN,NaN,NaN,NaN,NaN
4,\RIGHT,left,2,19,0.6,6,NaN,NaN,NaN,NaN,NaN
4,\RIGHT,left,6,20,0.6,8,NaN,NaN,NaN,NaN,NaN
4,\LEFT,right,8,21,0.6,4,NaN,NaN,NaN,NaN,NaN
4,\LEFT,left,6,22,0.6,3,NaN,NaN,NaN,NaN,NaN
4,\LEFT,left,1,23,0.6,10,NaN,NaN,NaN,NaN,NaN
4,\RIGHT,right,6,24,0.6,7,NaN,NaN,NaN,NaN,NaN
4,\RIGHT,right,4,25,0.6,1,NaN,NaN,NaN,NaN,NaN
4,\LEFT,left,7,26,0.6,3,NaN,NaN,NaN,NaN,NaN
4,\RIGHT,right,10,27,0.6,5,NaN,NaN,NaN,NaN,NaN
4,\LEFT,right,4,28,0.6,8,NaN,NaN,NaN,NaN,NaN
4,\RIGHT,left,4,29,0.6,5,NaN,NaN,NaN,NaN,NaN
4,\RIGHT,right,9,30,0.6,2,NaN,NaN,NaN,NaN,NaN
4,\LEFT,left,8,31,0.6,6,NaN,NaN,NaN,NaN,NaN
4,\LEFT,right,9,32,0.6,10,NaN,NaN,NaN,NaN,NaN
4,\RIGHT,left,7,33,0.6,4,NaN,NaN,NaN,NaN,NaN
4,\LEFT,right,6,34,0.6,11,NaN,NaN,NaN,NaN,NaN
4,\LEFT,right,3,35,0.6,9,NaN,NaN,NaN,NaN,NaN
4,\LEFT,right,2,36,0.6,9,NaN,NaN,NaN,NaN,NaN
4,\LEFT,left,5,37,0.6,1,NaN,NaN,NaN,NaN,NaN
4,\RIGHT,left,10,38,0.6,1,NaN,NaN,NaN,NaN,NaN
4,\LEFT,left,3,39,0.6,11,NaN,NaN,NaN,NaN,NaN
4,\LEFT,right,1,40,0.6,9,NaN,NaN,NaN,NaN,NaN
5,\RIGHT,left,5,1,0.6,11,NaN,NaN,NaN,NaN,NaN
5,\LEFT,right,9,2,0.6,10,NaN,NaN,NaN,NaN,NaN
5,\RIGHT,left,3,3,0.6,7,NaN,NaN,NaN,NaN,NaN
5,\LEFT,right,10,4,0.6,4,NaN,NaN,NaN,NaN,NaN
5,\LEFT,left,1,5,0.6,7,NaN,NaN,NaN,NaN,NaN
5,\LEFT,right,1,6,0.6,11,NaN,NaN,NaN,NaN,NaN
5,\LEFT,left,2,7,0.6,8,NaN,NaN,NaN,NaN,NaN
5,\RIGHT,right,1,8,0.6,11,NaN,NaN,NaN,NaN,NaN
5,\RIGHT,right,7,9,0.6,1,NaN,NaN,NaN,NaN,NaN
5,\RIGHT,left,10,10,0.6,1,NaN,NaN,NaN,NaN,NaN
5,\RIGHT,right,4,11,0.6,8,NaN,NaN,NaN,NaN,NaN
5,\RIGHT,left,6,12,0.6,3,NaN,NaN,NaN,NaN,NaN
5,\LEFT,left,3,13,0.6,1,NaN,NaN,NaN,NaN,NaN
5,\LEFT,left,7,14,0.6,10,NaN,NaN,NaN,NaN,NaN
5,\LEFT,right,7,15,0.6,4,NaN,NaN,NaN,NaN,NaN
5,\LEFT,right,2,16,0.6,7,NaN,NaN,NaN,NaN,NaN
5,\LEFT,left,5,17,0.6,8,NaN,NaN,NaN,NaN,NaN
5,\LEFT,left,8,18,0.6,8,NaN,NaN,NaN,NaN,NaN
5,\LEFT,right,5,19,0.6,4,NaN,NaN,NaN,NaN,NaN
5,\RIGHT,left,2,20,0.6,6,NaN,NaN,NaN,NaN,NaN
5,\LEFT,left,6,21,0.6,7,NaN,NaN,NaN,NaN,NaN
5,\RIGHT,left,1,22,0.6,1,NaN,NaN,NaN,NaN,NaN
5,\LEFT,right,4,23,0.6,5,NaN,NaN,NaN,NaN,NaN
5,\RIGHT,left,8,24,0.6,11,NaN,NaN,NaN,NaN,NaN
5,\LEFT,left,9,25,0.6,3,NaN,NaN,NaN,NaN,NaN
5,\RIGHT,right,3,26,0.6,4,NaN,NaN,NaN,NaN,NaN
5,\LEFT,left,4,27,0.6,1,NaN,NaN,NaN,NaN,NaN
5,\LEFT,right,3,28,0.6,1,NaN,NaN,NaN,NaN,NaN
5,\LEFT,left,10,29,0.6,8,NaN,NaN,NaN,NaN,NaN
5,\RIGHT,right,5,30,0.6,2,NaN,NaN,NaN,NaN,NaN
5,\RIGHT,left,4,31,0.6,11,NaN,NaN,NaN,NaN,NaN
5,\LEFT,right,8,32,0.6,11,NaN,NaN,NaN,NaN,NaN
5,\RIGHT,right,8,33,0.6,3,NaN,NaN,NaN,NaN,NaN
5,\LEFT,right,6,34,0.6,11,NaN,NaN,NaN,NaN,NaN
5,\RIGHT,right,10,35,0.6,7,NaN,NaN,NaN,NaN,NaN
5,\RIGHT,right,6,36,0.6,8,NaN,NaN,NaN,NaN,NaN
5,\RIGHT,left,7,37,0.6,6,NaN,NaN,NaN,NaN,NaN
5,\RIGHT,right,9,38,0.6,9,NaN,NaN,NaN,NaN,NaN
5,\RIGHT,left,9,39,0.6,6,NaN,NaN,NaN,NaN,NaN
5,\RIGHT,right,2,40,0.6,3,NaN,NaN,NaN,NaN,NaN
6,\RIGHT,right,10,1,0.6,8,NaN,NaN,NaN,NaN,NaN
6,\RIGHT,left,10,2,0.6,6,NaN,NaN,NaN,NaN,NaN
6,\LEFT,right,8,3,0.6,6,NaN,NaN,NaN,NaN,NaN
6,\LEFT,right,1,4,0.6,2,NaN,NaN,NaN,NaN,NaN
6,\LEFT,left,10,5,0.6,7,NaN,NaN,NaN,NaN,NaN
6,\RIGHT,right,9,6,0.6,1,NaN,NaN,NaN,NaN,NaN
6,\RIGHT,right,1,7,0.6,11,NaN,NaN,NaN,NaN,NaN
6,\LEFT,right,4,8,0.6,2,NaN,NaN,NaN,NaN,NaN
6,\LEFT,right,5,9,0.6,8,NaN,NaN,NaN,NaN,NaN
6,\RIGHT,left,7,10,0.6,10,NaN,NaN,NaN,NaN,NaN
6,\LEFT,left,2,11,0.6,3,NaN,NaN,NaN,NaN,NaN
6,\RIGHT,left,1,12,0.6,3,NaN,NaN,NaN,NaN,NaN
6,\LEFT,left,9,13,0.6,8,NaN,NaN,NaN,NaN,NaN
6,\RIGHT,left,3,14,0.6,1,NaN,NaN,NaN,NaN,NaN
6,\RIGHT,left,8,15,0.6,8,NaN,NaN,NaN,NaN,NaN
6,\RIGHT,right,7,16,0.6,4,NaN,NaN,NaN,NaN,NaN
6,\LEFT,left,6,17,0.6,11,NaN,NaN,NaN,NaN,NaN
6,\LEFT,left,3,18,0.6,7,NaN,NaN,NaN,NaN,NaN
6,\RIGHT,left,5,19,0.6,11,NaN,NaN,NaN,NaN,NaN
6,\RIGHT,right,3,20,0.6,6,NaN,NaN,NaN,NaN,NaN
6,\LEFT,right,2,21,0.6,10,NaN,NaN,NaN,NaN,NaN
6,\LEFT,right,3,22,0.6,8,NaN,NaN,NaN,NaN,NaN
6,\RIGHT,right,2,23,0.6,5,NaN,NaN,NaN,NaN,NaN
6,\LEFT,right,10,24,0.6,1,NaN,NaN,NaN,NaN,NaN
6,\RIGHT,left,6,25,0.6,10,NaN,NaN,NaN,NaN,NaN
6,\RIGHT,right,4,26,0.6,10,NaN,NaN,NaN,NaN,NaN
6,\LEFT,right,9,27,0.6,5,NaN,NaN,NaN,NaN,NaN
6,\LEFT,left,8,28,0.6,4,NaN,NaN,NaN,NaN,NaN
6,\RIGHT,right,8,29,0.6,6,NaN,NaN,NaN,NaN,NaN
6,\RIGHT,right,6,30,0.6,11,NaN,NaN,NaN,NaN,NaN
6,\LEFT,right,6,31,0.6,11,NaN,NaN,NaN,NaN,NaN
6,\LEFT,left,1,32,0.6,2,NaN,NaN,NaN,NaN,NaN
6,\LEFT,left,7,33,0.6,7,NaN,NaN,NaN,NaN,NaN
6,\RIGHT,left,4,34,0.6,7,NaN,NaN,NaN,NaN,NaN
6,\RIGHT,left,9,35,0.6,6,NaN,NaN,NaN,NaN,NaN
6,\RIGHT,right,5,36,0.6,9,NaN,NaN,NaN,NaN,NaN
6,\LEFT,right,7,37,0.6,1,NaN,NaN,NaN,NaN,NaN
6,\RIGHT,left,2,38,0.6,1,NaN,NaN,NaN,NaN,NaN
6,\LEFT,left,4,39,0.6,1,NaN,NaN,NaN,NaN,NaN
6,\LEFT,left,5,40,0.6,1,NaN,NaN,NaN,NaN,NaN
7,\RIGHT,left,6,1,0.6,2,NaN,NaN,NaN,NaN,NaN
7,\LEFT,left,2,2,0.6,8,NaN,NaN,NaN,NaN,NaN
7,\LEFT,left,10,3,0.6,5,NaN,NaN,NaN,NaN,NaN
7,\LEFT,right,4,4,0.6,5,NaN,NaN,NaN,NaN,NaN
7,\RIGHT,left,10,5,0.6,2,NaN,NaN,NaN,NaN,NaN
7,\RIGHT,right,9,6,0.6,6,NaN,NaN,NaN,NaN,NaN
7,\RIGHT,right,6,7,0.6,2,NaN,NaN,NaN,NaN,NaN
7,\LEFT,right,1,8,0.6,2,NaN,NaN,NaN,NaN,NaN
7,\RIGHT,left,7,9,0.6,9,NaN,NaN,NaN,NaN,NaN
7,\LEFT,left,3,10,0.6,2,NaN,NaN,NaN,NaN,NaN
7,\RIGHT,left,9,11,0.6,4,NaN,NaN,NaN,NaN,NaN
7,\LEFT,right,7,12,0.6,2,NaN,NaN,NaN,NaN,NaN
7,\RIGHT,right,7,13,0.6,1,NaN,NaN,NaN,NaN,NaN
7,\RIGHT,left,5,14,0.6,11,NaN,NaN,NaN,NaN,NaN
7,\LEFT,left,9,15,0.6,8,NaN,NaN,NaN,NaN,NaN
7,\LEFT,left,6,16,0.6,4,NaN,NaN,NaN,NaN,NaN
7,\RIGHT,right,5,17,0.6,7,NaN,NaN,NaN,NaN,NaN
7,\LEFT,right,10,18,0.6,6,NaN,NaN,NaN,NaN,NaN
7,\LEFT,right,3,19,0.6,10,NaN,NaN,NaN,NaN,NaN
7,\RIGHT,right,1,20,0.6,5,NaN,NaN,NaN,NaN,NaN
7,\LEFT,left,1,21,0.6,5,NaN,NaN,NaN,NaN,NaN
7,\RIGHT,left,4,22,0.6,1,NaN,NaN,NaN,NaN,NaN
7,\RIGHT,left,8,23,0.6,1,NaN,NaN,NaN,NaN,NaN
7,\RIGHT,right,10,24,0.6,5,NaN,NaN,NaN,NaN,NaN
7,\LEFT,right,9,25,0.6,4,NaN,NaN,NaN,NaN,NaN
7,\LEFT,right,6,26,0.6,1,NaN,NaN,NaN,NaN,NaN
7,\LEFT,left,4,27,0.6,7,NaN,NaN,NaN,NaN,NaN
7,\RIGHT,right,4,28,0.6,7,NaN,NaN,NaN,NaN,NaN
7,\RIGHT,right,2,29,0.6,8,NaN,NaN,NaN,NaN,NaN
7,\LEFT,left,5,30,0.6,7,NaN,NaN,NaN,NaN,NaN
7,\RIGHT,right,3,31,0.6,9,NaN,NaN,NaN,NaN,NaN
7,\LEFT,left,8,32,0.6,1,NaN,NaN,NaN,NaN,NaN
7,\RIGHT,right,8,33,0.6,10,NaN,NaN,NaN,NaN,NaN
7,\RIGHT,left,2,34,0.6,7,NaN,NaN,NaN,NaN,NaN
7,\RIGHT,left,3,35,0.6,10,NaN,NaN,NaN,NaN,NaN
7,\LEFT,right,8,36,0.6,4,NaN,NaN,NaN,NaN,NaN
7,\LEFT,left,7,37,0.6,10,NaN,NaN,NaN,NaN,NaN
7,\RIGHT,left,1,38,0.6,2,NaN,NaN,NaN,NaN,NaN
7,\LEFT,right,2,39,0.6,2,NaN,NaN,NaN,NaN,NaN
7,\LEFT,right,5,40,0.6,11,NaN,NaN,NaN,NaN,NaN
8,\RIGHT,right,5,1,0.6,10,NaN,NaN,NaN,NaN,NaN
8,\LEFT,left,3,2,0.6,3,NaN,NaN,NaN,NaN,NaN
8,\LEFT,right,2,3,0.6,11,NaN,NaN,NaN,NaN,NaN
8,\LEFT,left,7,4,0.6,7,NaN,NaN,NaN,NaN,NaN
8,\RIGHT,left,7,5,0.6,4,NaN,NaN,NaN,NaN,NaN
8,\RIGHT,left,3,6,0.6,5,NaN,NaN,NaN,NaN,NaN
8,\RIGHT,right,1,7,0.6,4,NaN,NaN,NaN,NaN,NaN
8,\RIGHT,left,1,8,0.6,7,NaN,NaN,NaN,NaN,NaN
8,\RIGHT,right,7,9,0.6,2,NaN,NaN,NaN,NaN,NaN
8,\LEFT,right,9,10,0.6,9,NaN,NaN,NaN,NaN,NaN
8,\RIGHT,right,3,11,0.6,3,NaN,NaN,NaN,NaN,NaN
8,\RIGHT,right,10,12,0.6,1,NaN,NaN,NaN,NaN,NaN
8,\RIGHT,right,4,13,0.6,5,NaN,NaN,NaN,NaN,NaN
8,\LEFT,right,6,14,0.6,11,NaN,NaN,NaN,NaN,NaN
8,\RIGHT,left,10,15,0.6,1,NaN,NaN,NaN,NaN,NaN
8,\RIGHT,right,6,16,0.6,3,NaN,NaN,NaN,NaN,NaN
8,\RIGHT,right,9,17,0.6,7,NaN,NaN,NaN,NaN,NaN
8,\RIGHT,left,6,18,0.6,3,NaN,NaN,NaN,NaN,NaN
8,\LEFT,left,2,19,0.6,4,NaN,NaN,NaN,NaN,NaN
8,\RIGHT,left,4,20,0.6,11,NaN,NaN,NaN,NaN,NaN
8,\RIGHT,right,2,21,0.6,11,NaN,NaN,NaN,NaN,NaN
8,\LEFT,right,5,22,0.6,7,NaN,NaN,NaN,NaN,NaN
8,\RIGHT,left,8,23,0.6,1,NaN,NaN,NaN,NaN,NaN
8,\LEFT,left,6,24,0.6,1,NaN,NaN,NaN,NaN,NaN
8,\LEFT,right,3,25,0.6,11,NaN,NaN,NaN,NaN,NaN
8,\RIGHT,left,2,26,0.6,4,NaN,NaN,NaN,NaN,NaN
8,\LEFT,left,8,27,0.6,1,NaN,NaN,NaN,NaN,NaN
8,\LEFT,left,10,28,0.6,3,NaN,NaN,NaN,NaN,NaN
8,\RIGHT,left,5,29,0.6,9,NaN,NaN,NaN,NaN,NaN
8,\LEFT,left,5,30,0.6,10,NaN,NaN,NaN,NaN,NaN
8,\LEFT,right,7,31,0.6,10,NaN,NaN,NaN,NaN,NaN
8,\LEFT,left,1,32,0.6,6,NaN,NaN,NaN,NaN,NaN
8,\LEFT,right,10,33,0.6,6,NaN,NaN,NaN,NaN,NaN
8,\RIGHT,left,9,34,0.6,2,NaN,NaN,NaN,NaN,NaN
8,\LEFT,right,4,35,0.6,9,NaN,NaN,NaN,NaN,NaN
8,\LEFT,right,1,36,0.6,9,NaN,NaN,NaN,NaN,NaN
8,\LEFT,left,9,37,0.6,6,NaN,NaN,NaN,NaN,NaN
8,\RIGHT,right,8,38,0.6,9,NaN,NaN,NaN,NaN,NaN
8,\LEFT,left,4,39,0.6,5,NaN,NaN,NaN,NaN,NaN
8,\LEFT,right,8,40,0.6,7,NaN,NaN,NaN,NaN,NaN
9,\LEFT,right,4,1,0.6,9,NaN,NaN,NaN,NaN,NaN
9,\LEFT,left,2,2,0.6,1,NaN,NaN,NaN,NaN,NaN
9,\RIGHT,left,2,3,0.6,2,NaN,NaN,NaN,NaN,NaN
9,\LEFT,right,5,4,0.6,8,NaN,NaN,NaN,NaN,NaN
9,\LEFT,left,3,5,0.6,9,NaN,NaN,NaN,NaN,NaN
9,\RIGHT,left,1,6,0.6,10,NaN,NaN,NaN,NaN,NaN
9,\RIGHT,left,10,7,0.6,7,NaN,NaN,NaN,NaN,NaN
9,\RIGHT,right,1,8,0.6,10,NaN,NaN,NaN,NaN,NaN
9,\LEFT,right,7,9,0.6,4,NaN,NaN,NaN,NaN,NaN
9,\RIGHT,right,4,10,0.6,4,NaN,NaN,NaN,NaN,NaN
9,\LEFT,left,6,11,0.6,5,NaN,NaN,NaN,NaN,NaN
9,\LEFT,left,1,12,0.6,1,NaN,NaN,NaN,NaN,NaN
9,\LEFT,right,3,13,0.6,1,NaN,NaN,NaN,NaN,NaN
9,\LEFT,left,5,14,0.6,7,NaN,NaN,NaN,NaN,NaN
9,\RIGHT,right,9,15,0.6,8,NaN,NaN,NaN,NaN,NaN
9,\RIGHT,left,5,16,0.6,1,NaN,NaN,NaN,NaN,NaN
9,\LEFT,left,7,17,0.6,2,NaN,NaN,NaN,NaN,NaN
9,\RIGHT,left,4,18,0.6,6,NaN,NaN,NaN,NaN,NaN
9,\LEFT,right,1,19,0.6,10,NaN,NaN,NaN,NaN,NaN
9,\LEFT,left,9,20,0.6,3,NaN,NaN,NaN,NaN,NaN
9,\RIGHT,right,10,21,0.6,8,NaN,NaN,NaN,NaN,NaN
9,\LEFT,right,10,22,0.6,4,NaN,NaN,NaN,NaN,NaN
9,\RIGHT,left,6,23,0.6,10,NaN,NaN,NaN,NaN,NaN
